date1,hour1,price,output
08.01.2015,2,35.87,5.982
08.01.2015,3,30.17,5.127999999999999
08.01.2015,4,24.54,4.612
08.01.2015,5,32.0,4.141
08.01.2015,6,40.96,3.29
08.01.2015,7,49.53,2.333
08.01.2015,8,48.07,1.206
08.01.2015,9,48.75,0.49700000000000005
08.01.2015,10,49.29,2.296
08.01.2015,11,49.33,8.878
08.01.2015,12,48.43,17.584
08.01.2015,13,47.21,21.845
08.01.2015,14,43.47,16.288
08.01.2015,15,38.27,12.012
08.01.2015,16,41.07,15.045
08.01.2015,17,47.97,17.801
08.01.2015,18,51.25,23.073
08.01.2015,19,50.31,24.605
08.01.2015,20,47.97,23.364
08.01.2015,21,40.5,23.699
08.01.2015,22,43.8,24.284000000000002
08.01.2015,23,44.05,25.180999999999997
09.01.2015,0,32.06,25.14
09.01.2015,1,29.71,24.541999999999998
09.01.2015,2,28.53,23.105
09.01.2015,3,23.75,20.586
09.01.2015,4,16.05,18.15
09.01.2015,5,21.44,18.124000000000002
09.01.2015,6,31.86,17.976
09.01.2015,7,44.0,18.607
09.01.2015,8,45.82,16.587
09.01.2015,9,45.59,12.904000000000002
09.01.2015,10,42.52,14.272
09.01.2015,11,41.57,19.664
09.01.2015,12,41.01,25.362
09.01.2015,13,39.24,25.482
09.01.2015,14,36.29,25.846
09.01.2015,15,29.47,30.474
09.01.2015,16,30.09,35.535
09.01.2015,17,35.43,36.806
09.01.2015,18,41.0,37.3
09.01.2015,19,38.95,37.594
09.01.2015,20,32.53,40.24
09.01.2015,21,26.69,42.246
09.01.2015,22,26.56,40.927
09.01.2015,23,25.26,39.1
10.01.2015,0,19.04,33.833
10.01.2015,1,15.96,29.488000000000003
10.01.2015,2,13.7,27.546999999999997
10.01.2015,3,11.01,26.454
10.01.2015,4,9.08,22.647
10.01.2015,5,9.28,18.077
10.01.2015,6,11.76,14.27
10.01.2015,7,15.84,11.722000000000001
10.01.2015,8,16.93,9.475
10.01.2015,9,18.11,8.261000000000001
10.01.2015,10,19.19,10.208
10.01.2015,11,19.25,13.554
10.01.2015,12,20.47,14.775
10.01.2015,13,18.21,14.762
